Extractor1,Extractor2,Full name of the society,Society info source,Society base country,Society type,"EDI (Equity, Diversity, Inclusion) statement present","EDI (Equity, Diversity, Inclusion) structure present",EDI comment,Fees info source,Currency of society fees,Standard individual regular membership fee per year,Comment on the standard individual regular membership fee per year,Standard individual student membership fee per year,Comment on the standard individual student membership fee per year,Standard individual postdoc membership fee per year,Comment on the standard individual postdoc membership fee per year,Eligibility timeframe for standard individual postdoc membership fee,Comment on the eligibility timeframe for standard individual postdoc membership fee,Discounted fees available for individual members from some countries or regions,Countries or regions eligible for discounted/waived fees,Comment on countries or regions eligible for discounted/waived fees,Increased fees imposed on individual members from some countries or regions (e.g. outside society’s home country),Countries or regions eligible for increased fees,Comment on countries or regions eligible for increased fees,Discounted individual membership fees available for the following groups,Comment on groups eligible for discounted fees,Complete or partial individual membership fee waivers available on individual request,Comment on individual requests for discounted fees or waivers,Voluntary donations not linked to membership application,Comment on voluntary donations not linked to membership application,Individual full membership benefits,Comment on society membership benefits,Comments_general,Censor-irrelevant,Censor-noinfo,Multiple-currencies,Extractor1,Extractor2
Eli Thoré,Patrice Pottier,Romanian Society of Palaeontologists,https://geo-paleontologica.org/en/,Romania,"National by name, International by aims or scope of activities",no,no,,https://geo-paleontologica.org/en/donate-to-the-rsp/,RON,,No info available,,,,,,,no,,,no,,,NA,,no,No info available,yes,You can sponsor the society by contacting them; info: https://geo-paleontologica.org/en/donate-to-the-rsp/,"Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver",No info available,"Paleontology might not be eligible in the category ""ecology and evolutionary biology"". Also, I could not find how to join the society and hence most of the membership information.",0,1,0,Eli Thoré,Patrice Pottier
Elina Takola,Matthieu Paquet,Royal Entomological Society,https://www.royensoc.co.uk/,UK,International by aims or scope of activities,yes,yes,https://www.royensoc.co.uk/about-us/equality-and-diversity/,https://www.royensoc.co.uk/membership-and-community/membership/#options,GBP,65,,15,,,,,,yes,https://www.royensoc.co.uk/discounted-low-and-middle-income-countries/,,no,,,"student, retired/emeritus, non-academic specialists, general community/public",,no,,yes,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","They offer an option of ""Associate member"" and ""Fellow""",,0,0,0,Elina Takola,Matthieu Paquet
Caleb Onoja Akogwu,Dylan G. E. Gomes,Siam Society,https://thesiamsociety.org/,Thailand,International by aims or scope of activities,no,no,,https://thesiamsociety.org/get-involved/,THB,3500,Ordinary Membership,500,Student Membership,,,,,no,,,no,,,NA,No discounted fees for any individual were captured on their website.,no,,yes,"Donation
Your contribution to The Siam Society will enable us to continue to carry out our mission in promoting the study and knowledge of the cultures, history, arts, and heritage of Thailand and its neighbouring countries.

Proceeds will also go towards the necessary funding of our various programme, e.g. library, museum, publications, lecture, study trips, and performances.

Donations to The Siam Society are entitled to tax deduction according to Section 47 (7) (b) and Section 79 Part (8) (b) of the Revenue Code, announcement number 136.

For your convenience, donations can be made via the following QR code. Please kindly send us a copy of the transfer slip in order for us to issue an acknowledgement of your donations.","Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Benefits of Life and Ordinary Membership:
Free admission to library and loan of general books
Free admission to Kamthieng House Museum
Free admission to lectures, held on a regular basis
Booking priority for study trips
Discount on admission fee for concerts and other cultural performances
10% discount on space rental and the Society’s special publications
A complimentary copy of the Annual Report of The Siam Society
A complimentary copy of each issue of the Journal of The Siam Society, and the Natural History Bulletin of The Siam Society, published during the year in which membership is active. 
Spouse receives the same benefits as member when joining The Siam Society’s activities","Benefits of Student Membership
Similar benefits as for Ordinary Members, except Student Members may not borrow library books, do not receive voting rights at AGMs or EGMs, and complimentary copies of the Journal of The Siam Society or the Natural History Bulletin of The Siam Society.",1,0,0,Caleb Onoja Akogwu,Dylan G. E. Gomes
April Robin Martinig,Manuela S. Santana,Sociedad Argentina de Botánica,https://botanicaargentina.org.ar/,Argentina,"National by name, International by aims or scope of activities",no,no,,https://botanicaargentina.org.ar/socios/#costos,ARS,16000,,8000,,,,,,no,,,yes,Latin America and outside Latin America,Latin America pays $50 USD; outside Latin America pays $75 USD,student,,no,,no,,"Conference registration discount or waiver, Publication fees (APC) discount or waiver",,,0,0,0,April Robin Martinig,Manuela S. Santana
April Robin Martinig,Manuela S. Santana,Sociedad Entomológica Argentina,https://seargentina.com.ar/,Argentina,"National by name, International by aims or scope of activities",no,no,,https://seargentina.com.ar/suscripcion-y-cuota/,ARS,12000,,3000,,,,,,no,,,yes,Outside Argentina,$50 USD regular member or $20 USD student member,student,,no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Simultaneous membership with the IOBC-NTRS (International Organization fro Biological Control - Neotropical Regional Section); Dissemination of academic, research and  extension ativities of its members; SEA's library access",,0,0,0,April Robin Martinig,Manuela S. Santana
Manuela S. Santana,April Robin Martinig,Sociedad Hispano-Luso-Americana de Lepidopterologia,https://shilap.org/,Spain,International by name,no,no,,https://shilap.org/revista/COMO-SER,EUR,75,,,,,,,,no,,,no,,,NA,There is no group eligible for discounted fee. There is only regular membership and institution fee (EUR 240),no,,no,,"Journal subscription discount or waiver, Other",Discounts on books and publications on Entomology,The website is both the journal's and society's page. ,0,0,0,Manuela S. Santana,April Robin Martinig
April Robin Martinig,Manuela S. Santana,Sociedad Latinoamericana de Briología,http://briologia.blogspot.com/,Argentina,International by name,no,no,,No info,NA,,"If there is an interest in becoming part of the society, an email can be sent requesting further information, either to a local/regional representative or to an email provided in the blog. No details about Society registration and membership options are provided.",,,,,,,no,,,no,,,NA,,no,,no,,,,Consider excluding. Nearly all the links are broken or lead nowhere. Most pages of the website also have a statement about how they are looking for volunteers to help with the website.,0,1,0,April Robin Martinig,Manuela S. Santana
James A. Orr,Yefeng Yang,Societas Europaea Herpetologica,https://www.seh-herpetology.org/,Germany,International by name,no,no,Not found on website or in statues and bylaws document (https://drive.google.com/file/d/1ttINBfv22tNG1ziw5zPkWieHeTaY27fo/view),https://drive.google.com/file/d/1WuXIkqM9BDjgEJHEdPq_qAi1lHEEJMsT/view,EUR,60,"Membership with online subscription 60 EUR

Other general membership options that are not discounts for groups: 
- Ordinary member (journal in print + online access) 80 EUR
- Membership without journal 30 EUR

If you pay with Paypal there is a €2 additional fee (compared to bank transfer)",,,,,,,no,,,no,,,NA,"There doesn't seem to be any discounts. The five options for memberships are: 

Ordinary member (journal in print + online access) 80 EUR
Membership with online subscription 60 EUR
Corporate/institution member (journal in print + online access) 150 EUR
Membership without journal 30 EUR
Life membership (journal in print + online access) 2000 EUR",no,,yes,There is an option to add a donation while you are joining or renewing membership ,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","""By becoming a member of the SEH you:
- support actions in herpetology, and particularly for the conservation of amphibians and reptiles 
- are able to apply for the yearly SEH Conservation and Mapping grants
- benefit from a discount (typically 70-90€) in your participation to the European Herpetological Congress 
- have the possibility of applying to calls for travel grants that support your participation in herpetological conferences
- benefit from reduced fees for publishing in Herpetology Notes
- gain a 40% discount for publishing Open Access in Amphibia-Reptilia""

Information available here: https://www.seh-herpetology.org/become-a-member",,0,0,0,James A. Orr,Yefeng Yang
Caleb Onoja Akogwu,Dylan G. E. Gomes,Societas Europaea Lepidopterologica,http://www.soceurlep.eu/,Czech Republic,International by name,no,no,,"http://www.soceurlep.eu/membership/
http://www.soceurlep.eu/.cm4all/uproc.php/0/SEL_application_form.pdf?_=1793b20d530&cdp=a",EUR,50,Ordinary members (individuals) ,,,,,,,no,,,no,,,other,NA,no,,no,,"Conference registration discount or waiver, Journal subscription discount or waiver, Publication fees (APC) discount or waiver","Members receive our journal, Nota lepidopterologica and the SELepidoptera newsletter as well as eventual Lists of Members, and are entitled to register for participation at the biennial European Congresses of Lepidopterology at a lower fee.",,0,0,0,Caleb Onoja Akogwu,Dylan G. E. Gomes
Matthieu Paquet,Patrice Pottier,Société Française d'Ichtyologie,https://sfi-cybium.fr/en,France,"National by name, International by aims or scope of activities",no,no,,https://sfi-cybium.fr/en/user/register,EUR,65,160 with hard copy of the journal,15,,15,,,,no,,,no,,,"student, postdoc / ECR (excluding students), unemployed",,no,,no,,"Conference registration discount or waiver, Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Matthieu Paquet,Patrice Pottier
Ayumi Mizuno,Saeed Shafiei Sabet,Society for Biological Systematics,https://www.gfbs-home.de/en/,Germany,International by aims or scope of activities,no,no,,"https://www.gfbs-home.de/ueber-uns/mitgliedsbeitraege-und-steuern

I could not find the source on the EN page, but it was on the DE page.",EUR,65,The fee is set by the general meeting every year. I recorded the current amount (29/12/2023).,30,The fee is set by the general meeting every year. I recorded the current amount (29/12/2023).,,,,,yes,30 EUR: members from countries with a lower income level than Germany and its neighbouring countries,"I (Japanese) translated the German into English and read that part, so I am sorry if I am wrong.",no,,,"student, unemployed, employed part-time",30 EUR: Members without their income (unemployed) or with only a low income (employed part-time),no,,no,,"Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver",,I filled in some columns with reference to the translation from German to English,0,0,0,Ayumi Mizuno,Saeed Shafiei Sabet
Nina Trubanová,Szymon Drobniak,Society for Conservation Biology,https://conbio.org/,USA,International by chapter,yes,yes,https://conbio.org/about-scb/who-we-are/ > Organizational Values > Diversity; dedicated officers can be found under SCB Regions' websites,https://conbio.org/membership/individual-member/,USD,120,"Annual Gross Income (USD Equivalent)	1 Year	2 Years	3 Years
More than $75,000	$120	$230 (save 4%)	$320 (save 12%)
Between $50,000 & less than $75,000	$90	$170 (save 6%)	$230 (save 16%)
Between $20,000 & less than $50,000	$60	$110 (save 9%)	$140 (save 25%)
Below $20,000	$30	$50 (save 18%)	$70 (save 25%)",120,"The individual membership fee is the same for Professional, Student, or Retired.",,,,,no,,,no,,,other,"Discounts are provided for 2- and 3-year membership. The individual membership fee is the same for Professional, Student, or Retired.",no,,yes,https://conbio.org/about-scb/donate-to-scb,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",Other = 35% discount on all Wiley book titles,,0,0,0,Nina Trubanová,Szymon Drobniak
Nina Trubanová,Shinichi Nakagawa,Society for Ecological Restoration,https://www.ser.org/,USA,International by aims or scope of activities,yes,yes,https://cdn.ymaws.com/www.ser.org/resource/resmgr/custompages/about/origin_documents/ser_code_of_ethics_updated_j.pdf; https://www.ser.org/page/Committees,https://www.ser.org/page/IndividualMembership,USD,95,"Standard individual membership: $95 (Choose from 1-year, 2-year, and Annual Auto-Renew Options)",40,Emerging professionals membership: This category is geared towards students and those new to their career in ecological restoration (even though it may be a second or third career!),,,,,no,,,no,,,"student, retired/emeritus, no fees, other","The Equity and Open Doors rates are for those who could not otherwise afford to become a member of SER and these opportunities are provided on the honor system:
Equity Rate $25 (Choose from 1-year, 2-year, and Annual Auto-Renew Options)
Open Doors Membership No Fee

Restorer Membership: ""To make a bigger impact with the Society please consider becoming a Restorer. A portion of your Restorer-level membership fee helps subsidize Equity and Open Doors memberships for lower-income colleagues, while also supporting SER's global policy work...""
Annual Membership Fee $300",no,,yes,https://www.ser.org/page/Donation,"Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",Other = 25% discount on all Island Press Books,,0,0,0,Nina Trubanová,Shinichi Nakagawa
Shinichi Nakagawa,Yefeng Yang,Society for Experimental Biology,https://www.sebiology.org/,UK,International by aims or scope of activities,yes,yes,https://www.sebiology.org/who-we-are/key-policies/equality-diversity.html; Special Interest Group for EDI and Outreach,https://www.sebiology.org/membership/membership-categories-join.html,GBP,63,Full,22,,33,Early Career,5,Eligible if you have graduated with a PhD and if no more than 5 years have passed since your graduation. Career breaks will be taken into consideration.  ,yes,Applicants for full membership from Eastern Europe and Africa can apply for a discounted membership fee.,"However, you will not be eligible for student or early career scientist benefits, for example, access to grants. ",no,,,"student, postdoc / ECR (excluding students)",,no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",other: advertise for free,,0,0,0,Shinichi Nakagawa,Yefeng Yang
Nina Trubanová,Szymon Drobniak,Society for Freshwater Science,https://freshwater-science.org/,USA,International by aims or scope of activities,yes,yes,https://freshwater-science.org/justice-equity-diversity-inclusion-jedi-task-force,https://freshwater-science.org/about/why-join-sfs,USD,130,"≤ $50K	$65
>$50K to $75K	$90
>$75K to $100K	$110
>$100K	$130",40,"Student	$40",,,,,yes,"Developing countries, including low and middle income countries, as defined by the World Bank: https://data.worldbank.org/income-level/low-and-middle-income","Developing Country*: Student	$10
Developing Country*: Member	$10",no,,,"student, retired/emeritus, fees proportional to income brackets","Student	$40
≤ $50K	$65
>$50K to $75K	$90
>$75K to $100K	$110
>$100K	$130
Emeritus	$0",no,,yes,https://freshwater-science.org/donate,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",Other = discounted examination fees for the aquatic invertebrate Taxonomic Certification Program,,0,0,0,Nina Trubanová,Szymon Drobniak
Nina Trubanová,Szymon Drobniak,Society for Integrative and Comparative Biology,https://sicb.org/,USA,International by aims or scope of activities,yes,no,"https://sicb.org/deij/, guidelines in place for reporting an incident of harassment in the CoC https://sicb.org/governance/code-of-conduct/",https://sicb.org/membership/,USD,120, FM Full Member $120,60,SS Student $60: High School Student OR Undergraduate Student OR Graduate Student,65,SP Postdoctoral $65,,Any individual who has earned a doctoral degree and is professionally engaged in the study or promotion of biology as a scientific discipline and is a postdoctoral fellow or associate is eligible for Postdoctoral Membership.,no,,,no,,,"student, postdoc / ECR (excluding students), retired/emeritus, junior, family, non-academic specialists, other","FH Full Member Family $160
EG Emeritus $80
LM Life Full Member $3,150
LM Life Full Member Family $4,200
20 year Full Member $1,700
20 year Full Member Family $2,150
SS Student $60
High School Student
Undergraduate Student
Graduate Student
SF Graduate Student Family $95
SP Postdoctoral $65
FP Postdoctoral Family $80
HS K12/Comm. College Teacher $60",no,,yes,https://sicb.org/donations/ - named student awards OR individual SCIB funds ,"Funding (e.g., travel awards/grants, research funding, prizes), Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","https://sicb.org/awards/, platform for members",,0,0,0,Nina Trubanová,Szymon Drobniak
Saeed Shafiei Sabet,Szymon Drobniak,Society for Invertebrate Pathology,https://www.siponline.org/,USA,International by aims or scope of activities,no,no,,https://www.siponline.org/membership,USD,55,"Full Membership - $55.00
There are also Division Membership:
- Bacteria - $5.00
- DBI - $10.00
- Fungi - $10.00
- Microbial Control - $3.00
- Microsporidia - $10.00
- Nematode - $10.00
- Virus - $15.00",20,,,,,,no,,,no,,,student,"Division Membership (Optional) - See membership form for full details

Bacteria - $5.00
DBI - $10.00
Fungi - $10.00
Microbial Control - $3.00
Microsporidia - $10.00
Nematode - $10.00
Virus - $15.00",no,,yes,,"Conference registration discount or waiver, Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",https://www.siponline.org/membership,,0,0,0,Saeed Shafiei Sabet,Szymon Drobniak
Nina Trubanová,Szymon Drobniak,Society for Marine Mammalogy,https://asm.org/,USA,"National by name, International by aims or scope of activities",yes,yes,"https://asm.org/IDEAA, https://asm.org/DEI-Committee-members/IDEAA-Committees",https://asm.org/Membership,USD,105,"$215 Premium
$125 Medical Lab Scientist
$105 Contributing",35,$35 Student,50,$50 Postdoctoral,,,yes,"Afghanistan, Algeria, Angola, Bangladesh, Belize, Benin, Bhutan, Bolivia, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Central African Republic, Chad, Comoros, Cote d'Ivoire, Cuba, Dem. People's Rep of Korea, Dem. Rep. of the Congo, Djibouti, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Gambia, Ghana, Guinea, Guinea-Bissau, Haiti, Honduras, India, Indonesia, Iran, Iraq, Kenya, Kiribati, Kyrgyz Republic, Lao PDR, Laos, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mongolia, Morocco, Mozambique, Myanmar, Nepal, Nicaragua, Niger, Nigeria, Pakistan, Papua New Guinea, Philippines, Rwanda, Sao Tome Principe, Samoa, Senegal, Sierra Leone, Solomon Islands, Somalia, South Sudan, Sudan, Swaziland, Syria, Tajikistan, Tanzania, Timor-Leste, Togo, Tuvalu, Ukraine, Uganda, Uzbekistan, Vanuatu, Venezuela, Vietnam, Yemen, Zambia, Zimbabwe","Full membership available to members in specifically designated countries.
$0 Contributing
$0 Postdoctoral
$0 Student",no,,,"student, postdoc / ECR (excluding students), retired/emeritus, other","other = Introductory, online-only membership: $55 Supporting",yes,In case of financial hardship,yes,https://asm.org/a/Donate,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Nina Trubanová,Szymon Drobniak
Nina Trubanová,Szymon Drobniak,Society for Molecular Biology and Evolution,https://www.smbe.org/smbe,USA,International by aims or scope of activities,yes,no,Statement of values https://www.smbe.org/smbe/ABOUT/ValueStatement.aspx,https://www.smbe.org/smbe/MEMBERSHIP.aspx,USD,10,3-YEAR Society Membership Worldwide Price: $30.00,3.33,3-YEAR Society Membership Student Worldwide Price: $10.00,,,,,yes,Students from underrepresented regions may apply for free membership,,no,,,student,,yes,"""Students from underrepresented regions may apply for free membership."" [https://www.smbe.org/smbe/MEMBERSHIP.aspx]",yes,https://www.smbe.org/smbe/MEMBERSHIP/Donate.aspx,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Publication fees (APC) discount or waiver",,More information on membership fees and benefits or a definition of underrepresented groups might be potentially found after a registration to society's platform: https://www.smbe.org/smbe/HOME/Login/tabid/338/Default.aspx?returnurl=%2fsmbe%2fMEMBERSHIP%2fContactInformation.aspx,0,0,0,Nina Trubanová,Szymon Drobniak
Nina Trubanová,Zhenzhuo Xian,Society for Open Reliable Transparent Ecology and Evolutionary biology,https://www.sortee.org/,USA,International by aims or scope of activities,yes,yes,"Statement at https://www.sortee.org/join/, committee at https://www.sortee.org/people/#diversity-equity-and-inclusion-committee",https://www.sortee.org/join/,USD,40,"Senior-career professionals: $40, early-career professionals: $20",10,Students: $10,20,Early-career professionals: $20,,,no,,,no,,,"student, postdoc / ECR (excluding students), discretionary fee amount, no fees","Early-career professionals: $20
Students: $10
Pay No Fees: Free
Pay What You Can: Minimum $0.50 (50 cents)
Pay What You Can: Besides the Pay No Fees option (no questions asked), we are offering everyone an option to enter a different payment amount. This option is intended for people who need to pay less (e.g. to account for exchange rates or personal financial difficulty), and for those who have the means to pay more and would like to make a larger donation to support SORTEE’s activities.",yes,"Pay No Fees: Free
Pay What You Can: Minimum $0.50 (50 cents)

Not sure: Does the two options count? I assume ""yes""",yes,Pay What You Can: Minimum $0.50 (50 cents): for those who have the means to pay more and would like to make a larger donation to support SORTEE’s activities.,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Nina Trubanová,Zhenzhuo Xian
Michael Bertram,Saeed Shafiei Sabet,Society for Promotion of Horticulture,https://sph.iihr.res.in/,India,International by aims or scope of activities,no,no,,https://sph.iihr.res.in/membership.php,INR,1200,"Note that there are prices in both INR and USD, depending on whether the potential member is Indian or foreign. I have used INR throughout this form.",700,"Note that there are prices in both INR and USD, depending on whether the potential member is Indian or foreign. I have used INR throughout this form.",,,,,yes,The South Asian Association for Regional Cooperation (SAARC) Countries,The South Asian Association for Regional Cooperation (SAARC) Countries,yes,"Foreign countries (i.e. outside of India, and the South Asian Association for Regional Cooperation (SAARC) Countries)","Foreign countries (i.e. outside of India, and the South Asian Association for Regional Cooperation (SAARC) Countries)",student,,no,,no,,,Not mentioned explicitly.,,0,0,0,Michael Bertram,Saeed Shafiei Sabet
Ayumi Mizuno,Saeed Shafiei Sabet,Society for Sedimentary Geology,https://www.sepm.org,USA,International by aims or scope of activities,yes,no,https://www.sepm.org/ethics-policies,https://www.sepm.org/apply,USD,75,"Membership category: professional

75USD is the membership fee only. Additional fees are required if a member wants to access online journals and book archives.
However, upon proceeding and checking the procedure, it seems those additional fees are not added…",15,"For those enrolled in a geoscience or allied science program, includes online subscriptions.",45,"There was the early-career category (45USD: for people within 5 years of their last degree, with optional subscriptions), but it was unclear whether this category was for postdocs.",5,,no,,The fees differ between professionals (people with careers in the geosciences) and students.,no,,,"student, postdoc / ECR (excluding students)",,no,,yes,https://www.sepm.org/form/Donation-Form,"Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Ayumi Mizuno,Saeed Shafiei Sabet
Manuela S. Santana,Yefeng Yang,Society for the Study of Amphibians and Reptiles,https://ssarherps.org/,USA,International by aims or scope of activities,yes,yes,https://ssarherps.org/dei/,https://ssar.wildapricot.org/join-us,USD,120,"There is also ""regular member - online only"" category ($110)",65,"There is also ""student member - online only"" category for $60",75,"Early career/Transitional Member (post-doc, new job). This category may be used by any member for up to 4 times.",,,no,,,no,,,"student, postdoc / ECR (excluding students), retired/emeritus, family, non-academic specialists",Zoo keepers have discounted membership rate: $55. Online only membership costs $50,no,,yes,https://ssarherps.org/about-ssar/donations-and-bequests/,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",https://ssarherps.org/about-ssar/membership/,,0,0,0,Manuela S. Santana,Yefeng Yang
Nina Trubanová,Szymon Drobniak,Society for the Study of Evolution,https://www.evolutionsociety.org/,USA,International by aims or scope of activities,yes,yes,https://www.evolutionsociety.org/content/diversity-committee.html; https://www.evolutionsociety.org/content/diversity-statement.html,https://www.evolutionsociety.org/index.php?module=content&type=user&func=view&pid=8,USD,60,1-year membership $60.00; 2-year membership (10% discount) $108.00; 3-year membership (20% discount) $144.00,25,1-year membership $25.00; 2-year membership (10% discount) $45.00; 3-year membership (20% discount) $60.00,40,1-year membership $40.00; 2-year membership (10% discount) $72.00; 3-year membership (20% discount) $96.00,8,"Any member who is either holding or transitioning from/to a current postdoctoral position, or has completed a PhD no more than 8 years earlier and does not hold a permanent position.",yes,"50% Discount on SSE Membership: Albania, Brazil, Ecuador, Indonesia, Libya, Nauru, Samoa, Turkey, Antigua and Barbuda, Bulgaria, Equatorial Guinea, Islamic Rep., Iran, Lithuania, North Macedonia, Serbia, Turkmenistan, Argentina, Chile, Fiji, Iraq, Malaysia, Palau, Seychelles, Tuvalu, Armenia, China, Gabon, Jamaica, Maldives, Panama, South Africa, Uruguay, Azerbaijan, Colombia, Georgia, Jordan, Marshall Islands, Paraguay, St. Lucia, Venezuela, Belarus, Costa Rica, Grenada, Kazakhstan, Mauritius, Peru, St. Vincent and the Grenadines, Belize, Cuba, Guatemala, Kosovo, Mexico, Qatar, Suriname, Bosnia and Herzegovina, Dominica, Guyana, Latvia, Montenegro, Romania, Thailand, Botswana, Dominican Republic, Hungary, Lebanon, Namibia, Russian Federation, Tonga.
Free SSE Membership: Afghanistan, Cameroon, Ethiopia, Kyrgyz Republic, Morocco, São Tomé and Principe, Togo, Algeria, Central African Republic, The Gambia, Lao PDR, Mozambique, Senegal, Tunisia, American, Samoa, Chad, Ghana, Lesotho, Myanmar, Sierra Leone, Uganda, Angola, Comoros, Guam, Liberia, Nepal, Solomon Islands, Ukraine, Bangladesh, Dem. Rep. Congo, Guinea, Madagascar, Nicaragua, Somalia, US Virgin Islands, Benin, Rep. Congo, Guinea-Bissau, Malawi, Niger, South Sudan, Uzbekistan, Bhutan, Côte d'Ivoire, Haiti, Mali, Nigeria, Sri Lanka, Vanuatu, Bolivia, Djibouti, Honduras, Mariana Islands, Pakistan, Sudan, Vietnam, Burkina Faso, Arab Rep. Egypt, India, Mauritania, Papua New Guinea, Syrian Arab Republic, West Bank and Gaza, Burundi, El Salvador, Kenya, Fed. Sts.
Micronesia, Philippines, Tajikistan, Rep. Yemen, Cabo Verde, Eritrea, Kiribati, Moldova, Puerto Rico, Tanzania, Zambia, Cambodia, Eswatini, Dem. People's Rep. Korea, Mongolia, Rwanda, Timor-Leste, Zimbabwe","The SSE Global Membership Assistance (GMA) Program offers free or discounted membership to students, researchers, and educators in 152 countries and territories around the world based on World Bank classifications. GMA Group 1: 50% Discount on SSE Membership and GMA Group 2: Free SSE Membership.",no,,,"student, postdoc / ECR (excluding students), retired/emeritus, family, non-academic specialists",Other = K-12 Educator Membership Fee,yes,"SSE Membership Award:
This award offers free two-year SSE memberships to 100 individuals of any career stage who identify as racial or ethnic minorities, either in their country of origin or their country of residence. This initiative is part of SSE Council’s 2020 commitment to actions to increase inclusion of and support for members of historically excluded groups, particularly individuals who identify as Black, Indigenous, or people of color (BIPOC), in the field of evolutionary biology and through all of the society’s activities and programs. ",yes,"https://payments.evolutionsociety.org/donate - ""A contribution to SSE special funds help support the society's existing programs and awards and the continued excellence of our esteemed journals.""","Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,https://www.evolutionsociety.org/statement-against-racism-and-racial-injustice.html,0,0,0,Nina Trubanová,Szymon Drobniak
Losia Lagisz,Shinichi Nakagawa,Society for the Study of Mammalian Evolution,https://www.mammalevolution.com/,USA,International by aims or scope of activities,no,no,,https://www.mammalevolution.com/,USD,45,,,,,,,,no,,,no,,,NA,"no discounts, only one fee level",no,,no,,Journal subscription discount or waiver,,,0,0,0,Losia Lagisz,Shinichi Nakagawa
Ayumi Mizuno,Shinichi Nakagawa,Society for the Study of Molluscan Diversity,"http://marine1.bio.sci.toho-u.ac.jp/md/index-e.html, http://marine1.bio.sci.toho-u.ac.jp/md/index.html",Japan,International by aims or scope of activities,no,no,,"http://marine1.bio.sci.toho-u.ac.jp/md/index-e.html, http://marine1.bio.sci.toho-u.ac.jp/md/index.html",JPY,4000,"If regular members do not want a mailed printed copy of a journal, the membership fee is a discount price (4000 yen). But there is no online version of the journal.",4500,,,,,,no,,,no,,,"student, family",,no,,no,,"Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Ayumi Mizuno,Shinichi Nakagawa
Yefeng Yang,Manuela S. Santana,Society for Vector Ecology,https://www.sove.org/,USA,International by aims or scope of activities,no,no,,no direct info - one has to create an account to to join it and then can see the details. https://www.sove.org/membership-renewal,USD,,no info,,,,,,,,no info,,,,,NA,,NA,no info,,,,no pages reporting the membership benefits,,0,1,0,Yefeng Yang,Manuela S. Santana
